continent;iso_code;location;Longitude;Latitude;date;total_cases;new_cases;total_deaths;new_deaths;total_tests;new_tests;positives;negatives;realized;not_confirmed;Active_cases;Recovered;Confirmed;hospitalized;population;gdp_per_capita;Nombre;descripcion;url;nombre;descripcion;url ;median_age;aged_65_older;aged_70_older
Europe;ALB;Albania;19.8166667;41.3333333;21/03/2020;70;0;2;0;;;;;;;72;0;76;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-31;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;22/03/2020;76;6;2;0;;;;;;;85;0;89;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-32;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;23/03/2020;89;13;2;0;;;;;;;98;2;104;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-33;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;24/03/2020;100;11;4;2;;;;;;;108;10;123;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-34;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;25/03/2020;123;23;5;1;;;;;;;124;17;146;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-35;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;26/03/2020;146;23;5;0;;;;;;;151;17;174;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-36;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;27/03/2020;174;28;6;1;;;;;;;147;31;186;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-37;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;28/03/2020;186;12;9;3;;;;;;;156;31;197;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-38;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;29/03/2020;197;11;10;1;;;;;;;169;33;212;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-39;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;30/03/2020;212;15;10;0;;;;;;;168;44;223;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-40;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
